108	10	12	11	12	7	8	13	9	8	11
109	9	12	8	10	10	6	8	6	9	7
110	10	8	7	4	6	9	8	7	6	9
111	12	9	10	12	8	7	7	13	9	10
112	8	9	12	8	8	10	9	10	11	11
113	6	7	12	8	8	8	9	13	4	12
114	10	11	10	12	6	8	8	12	9	12
115	8	11	10	7	8	12	10	10	8	4
116	10	12	10	6	12	8	10	7	10	10
117	12	8	9	8	11	10	10	11	7	12
118	9	9	7	11	8	8	9	4	10	7
119	9	10	8	10	10	11	11	12	12	11
120	6	10	7	7	10	9	6	13	6	6
121	9	9	11	8	4	10	10	9	12	11
122	9	7	13	12	9	7	10	10	8	10
123	9	8	8	10	7	4	6	7	8	8
124	12	11	6	9	6	9	8	12	11	8
125	7	8	10	11	9	10	5	12	10	13
126	9	9	7	8	11	12	7	7	7	4
127	11	13	8	7	11	5	10	11	10	11
128	9	10	9	7	5	9	9	9	14	9
129	8	12	9	4	8	8	7	8	12	10
130	11	10	9	5	11	8	9	4	11	6
131	12	10	10	7	9	8	9	12	9	8
132	6	9	11	8	7	6	11	8	8	10
133	10	8	6	6	10	8	12	8	13	11
134	9	6	11	8	8	7	6	13	8	11
135	9	6	6	9	7	9	6	4	10	8
136	9	8	12	12	7	8	11	9	10	9
137	8	11	10	8	10	12	8	11	7	12
138	4	6	10	8	4	7	9	7	8	10
139	11	6	10	9	10	8	6	8	6	10
140	6	13	14	8	4	7	10	12	7	11
141	11	8	7	10	8	9	8	7	9	8
142	7	9	10	9	9	11	7	10	10	8
143	10	8	9	11	10	12	7	11	10	10
144	6	15	7	9	11	10	10	7	8	8
145	9	7	10	9	10	8	10	11	12	7
146	6	6	10	12	10	11	10	8	13	10
147	8	12	13	8	4	11	8	10	10	11
148	7	9	10	8	9	9	7	12	12	9
149	10	6	9	4	8	7	8	6	4	9
150	7	11	10	6	9	11	9	6	8	13
151	9	8	9	11	8	7	10	7	10	12
152	10	11	12	12	8	10	8	9	10	7
153	7	11	8	6	11	10	8	11	9	10
154	8	8	9	7	8	11	10	4	8	6
155	8	9	10	8	8	6	9	6	10	8
156	9	8	10	6	9	12	8	8	11	9
157	8	10	9	7	10	9	6	10	4	8
158	8	8	9	13	9	8	8	9	12	9
159	9	4	8	13	12	8	9	13	11	10
160	11	12	6	10	10	10	10	10	9	4
161	8	6	12	7	12	8	11	12	12	12
162	7	10	15	9	11	9	5	8	10	10
163	7	4	10	8	7	8	8	10	8	10
164	12	8	11	7	6	10	8	9	6	10
165	10	12	8	9	10	7	8	11	12	8
166	7	9	6	9	10	8	8	5	7	9
167	12	8	8	9	12	8	11	10	9	12
168	8	8	11	8	8	8	8	11	10	6
169	12	6	7	8	10	9	7	8	6	11
170	11	6	9	11	9	7	12	12	7	10
171	8	6	8	10	7	9	8	7	9	8
172	10	6	6	8	6	11	11	6	10	6
173	10	7	13	10	9	11	8	11	7	8
174	10	8	8	9	10	11	11	9	8	11
175	10	9	9	8	9	10	7	9	10	9
176	9	7	9	11	12	6	6	11	9	6
177	8	9	6	8	11	9	8	12	11	8
178	9	8	8	13	8	7	10	10	9	5
179	4	10	8	6	12	6	7	8	7	10
180	9	6	10	4	10	11	6	9	12	7
181	11	7	7	8	9	7	10	8	11	7
182	9	7	5	4	7	9	8	10	6	5
183	11	7	11	9	14	12	8	8	12	9
184	9	7	10	8	6	8	9	10	10	6
185	12	9	12	8	11	10	5	9	9	14
186	10	13	13	12	11	9	11	8	9	8
187	9	6	4	8	11	11	10	9	12	9
188	6	10	8	9	12	7	9	8	6	8
189	14	7	7	4	13	10	10	11	8	8
190	8	13	10	7	11	10	6	7	10	9
191	10	6	13	6	9	11	9	8	11	9
192	7	8	8	11	8	7	7	10	10	7
193	10	8	11	8	8	10	9	8	6	9
194	7	11	11	13	8	10	13	9	8	10
195	9	9	13	11	8	6	8	12	9	9
196	10	13	9	8	7	10	10	7	11	11
197	10	7	8	12	10	6	7	10	11	10
198	6	11	9	9	10	9	11	6	12	7
199	9	12	9	7	10	9	6	11	8	12
200	8	9	7	12	7	11	6	6	11	12
201	6	9	8	8	10	8	8	9	8	11
202	12	11	11	11	10	13	9	13	11	9
203	14	7	9	10	13	11	11	8	10	7
204	7	8	7	9	10	9	12	10	6	8
205	7	9	8	11	10	13	9	9	4	10
206	12	8	10	7	8	4	7	10	8	8
207	7	7	11	8	9	8	6	10	14	13
208	9	6	7	10	9	12	13	10	10	8
209	8	11	7	11	7	10	9	8	8	6
210	8	11	11	10	6	9	9	9	9	12
211	8	14	7	10	12	4	11	10	9	13
212	8	11	13	10	9	11	9	9	10	8
213	7	12	9	8	10	10	8	10	11	6
214	4	10	12	7	7	8	7	8	4	12
215	12	9	9	8	12	8	10	4	10	6
216	14	8	11	11	12	7	8	8	9	8
217	10	10	9	9	11	10	9	9	8	7
218	8	9	11	8	7	10	7	10	11	9
219	10	12	10	8	11	8	10	9	6	10
220	8	6	10	7	9	10	7	6	8	7
221	12	10	9	9	9	9	10	6	8	11
222	13	13	7	12	11	10	7	8	13	7
223	10	8	12	12	9	8	13	8	4	10
224	9	13	9	7	9	10	10	8	11	6
225	10	4	11	9	9	8	9	12	7	8
226	8	12	8	10	8	10	10	10	10	12
227	8	9	10	10	10	13	11	8	9	11
228	9	11	9	9	7	7	11	10	9	9
229	11	8	9	8	9	7	11	12	8	12
230	8	6	11	13	10	12	8	10	8	10
231	13	4	6	10	10	11	6	9	10	7
232	9	6	6	8	10	10	9	11	4	12
233	8	8	8	6	9	7	6	10	11	10
234	9	6	12	6	10	4	7	9	8	9
235	11	11	7	10	10	9	10	10	7	11
236	10	9	2	7	10	9	4	11	9	6
237	10	10	11	7	7	9	14	11	11	9
238	10	8	10	8	7	8	7	10	9	9
239	10	11	13	11	10	7	10	10	12	8
240	8	12	9	11	10	9	9	7	9	10
241	12	9	11	13	12	11	10	8	8	12
242	13	7	12	9	10	8	9	10	12	7
243	10	10	10	10	10	9	9	8	6	11
244	10	12	13	7	13	9	10	8	9	8
245	6	11	12	11	8	7	8	8	7	13
246	12	8	10	6	12	9	10	7	9	13
247	7	11	12	9	8	12	12	9	11	8
248	12	13	9	11	7	8	8	10	8	9
249	7	10	6	6	4	12	11	10	7	10
250	10	9	7	9	7	7	11	9	14	10
251	8	10	12	10	7	9	10	12	9	12
252	6	8	6	9	11	7	11	9	11	10
253	12	8	7	9	5	10	11	12	9	9
254	7	7	7	9	10	8	7	13	8	4
255	4	10	12	9	10	10	6	10	8	9
256	10	10	12	7	12	10	7	7	11	12
257	9	13	10	15	6	7	11	8	10	10
258	13	9	11	9	12	9	9	9	8	14
259	6	9	9	10	8	6	10	10	9	7
260	10	11	7	8	9	11	10	8	4	11
261	7	6	8	12	12	9	8	12	7	8
262	12	10	9	9	8	11	7	10	8	9
263	12	8	10	14	7	12	10	10	7	10
264	8	11	7	9	12	12	9	14	9	12
265	6	9	12	10	6	11	12	7	6	9
266	10	12	11	10	11	7	8	10	7	6
267	4	11	9	11	12	8	8	10	15	13
268	12	8	11	12	8	7	10	9	10	6
269	12	7	12	11	8	11	7	10	8	6
270	8	9	4	12	12	6	11	11	7	12
271	8	7	9	6	9	12	10	9	7	9
272	10	11	11	11	8	8	9	10	6	7
273	4	10	13	8	4	11	7	4	14	10
274	6	13	10	8	9	11	11	10	12	7
275	7	11	8	5	11	8	10	12	11	8
276	11	11	7	12	9	12	9	9	8	6
277	6	10	11	8	12	9	11	6	2	7
278	6	10	7	6	13	11	6	10	8	5
279	11	13	6	12	12	9	10	14	8	12
280	8	9	7	7	8	10	5	9	12	10
281	6	10	10	8	9	10	6	4	8	6
282	7	10	10	5	8	13	8	7	11	7
283	10	10	9	8	9	12	12	10	7	9
284	7	6	7	8	6	10	11	9	9	11
285	8	10	12	8	9	6	8	7	7	8
286	13	12	8	8	9	6	10	9	12	10
287	10	11	10	6	9	11	8	9	10	9
288	9	8	9	8	10	9	8	8	6	9
289	6	9	11	8	7	13	13	6	12	7
290	9	6	9	8	11	10	6	9	7	10
291	12	9	7	6	10	10	9	7	11	12
292	11	9	10	8	10	12	6	13	10	10
293	10	4	10	10	10	9	10	8	7	9
294	10	11	10	7	8	10	11	11	13	9
295	14	7	6	7	7	8	2	10	7	10
296	12	11	7	11	8	10	13	9	8	10
297	13	12	9	12	9	10	12	10	8	5
298	12	9	11	10	12	8	6	7	10	8
299	13	9	10	12	8	7	4	8	4	10
300	10	6	7	10	8	6	10	9	8	10
301	8	8	11	11	8	8	9	11	10	9
302	10	10	10	11	13	10	7	10	8	8
303	7	7	10	9	8	11	12	12	8	9
304	10	13	13	11	4	9	9	11	11	10
305	8	9	12	9	11	9	12	10	13	10
306	5	8	10	7	10	10	8	6	7	11
307	9	8	11	7	12	12	9	7	9	11
308	8	11	6	11	8	8	7	11	6	10
309	4	12	11	14	10	12	11	10	11	9
310	10	7	9	7	12	9	9	10	10	9
311	8	11	9	6	12	8	6	12	10	9
312	10	8	13	10	10	9	10	10	8	10
313	4	10	6	9	7	11	10	5	7	9
314	12	11	9	10	11	9	9	6	7	10
315	12	10	10	11	12	10	10	9	11	10
316	6	8	11	6	13	11	8	11	10	4
317	10	12	9	6	4	10	7	6	5	8
318	11	9	8	12	10	4	8	10	10	13
319	11	12	6	13	11	11	10	8	11	10
320	6	9	8	9	7	7	7	11	6	10
321	7	11	12	10	9	8	11	10	6	11
322	10	11	11	11	6	11	11	8	13	7
323	9	8	11	8	11	12	8	11	6	7
324	8	9	5	9	10	12	7	10	13	8
325	9	7	11	11	9	9	10	12	7	11
326	11	10	7	8	8	12	8	9	10	12
327	6	10	9	8	9	9	10	9	8	15
328	10	7	10	10	7	11	9	6	8	7
329	11	8	12	9	8	7	13	11	13	11
330	13	8	10	10	12	6	10	12	8	9
331	6	12	10	8	9	7	12	12	9	9
332	14	8	6	8	11	7	7	11	8	9
333	12	8	10	4	6	10	8	10	7	11
334	10	8	11	12	2	12	7	12	7	12
335	10	11	8	7	6	10	9	9	9	9
336	9	10	7	8	9	10	9	7	12	8
337	8	8	7	12	10	12	8	11	11	8
338	8	13	6	9	10	8	9	8	7	10
339	8	12	10	8	10	9	12	11	9	14
340	12	7	11	10	9	6	13	10	8	8
341	4	10	10	10	12	10	10	4	7	8
342	8	8	11	9	8	8	8	7	11	11
343	10	8	10	9	12	8	11	11	12	7
344	6	14	8	10	8	11	12	7	12	9
345	10	8	7	9	10	4	8	8	8	8
346	10	12	12	10	6	7	8	12	12	10
347	11	10	13	11	10	8	7	6	7	12
348	8	10	12	9	9	13	10	8	9	10
349	11	13	9	13	9	10	6	9	12	10
350	9	11	8	8	10	9	6	12	10	5
351	9	13	10	8	10	8	8	10	7	11
352	6	4	13	10	10	9	8	11	10	11
353	9	11	10	9	8	10	6	9	10	9
354	11	12	2	8	8	10	11	6	11	6
355	8	13	10	7	6	9	9	9	9	11
356	9	9	13	8	7	9	6	11	6	10
357	12	7	8	13	6	8	6	8	8	12
358	12	7	11	12	7	9	8	8	9	6
359	8	4	12	11	10	10	8	8	10	8
